bibkey,year,venue,task,granularity,architecture,domain,dataset,model,metrics,human_study,main_finding
li2025pastpresent,2025,ACL 2025,generation,compositional,LLM-hybrid,historical,historical events,GPT-4,human-pref,crowd,LLMs generate historical analogies bridging past events to present contexts
musker2025semanticstructuremapping,2025,J.Mem.Lang.,capability-evaluation,lexical,LLM-prompting,general,B-rel+custom,LLMs,val,human-comparison,LLMs exhibit human-like semantic structure-mapping in analogical reasoning tasks
qin2025relevant,2025,ACL Findings 2025,capability-evaluation,lexical,LLM-prompting,general,multiple,LLMs,"acc,val",none,LLMs rely on surface similarity rather than genuine relational analogical reasoning
shin2024generation,2024,EMNLP Findings 2024,generation,lexical,LLM-prompting,general,GRE-style MCQ,LLMs,acc,none,Analogical problem-solving converted to MCQ; LLMs show generation-to-selection gap
sourati2024arn,2024,TACL,evaluation,compositional,LLM-prompting,story,ARN narratives,LLMs,"acc,human-pref",human-comparison,Analogical reasoning on narratives requires structural story understanding
stevenson2026children,2026,TACL,capability-evaluation,lexical,LLM-prompting,general,children's analogies,LLMs,acc,human-comparison,LLMs fail to generalize analogy solving the way children do via relational learning
webb2025counterfactual,2025,PNAS Nexus,capability-evaluation,lexical,LLM-prompting,general,counterfactual tasks,GPT-4,"acc,val",none,Counterfactual evidence confirms emergent analogical reasoning in large LLMs
wijesiriwardene2024sentence,2024,EACL Findings 2024,evaluation,compositional,LLM-prompting,general,sentence pairs,LLMs,acc,none,Sentence analogy identification correlates with syntactic structure encoding
wijesiriwardene2025knowledgeprompts,2025,COLING 2025,generation,lexical,LLM-prompting,general,SAT+proportional,LLMs,acc,none,Knowledge-enhanced prompting improves LLM proportional analogy solving accuracy
yasunaga2024analogical,2024,ICLR 2024,generation,lexical,LLM-prompting,general,BIG-bench+math,LLMs,acc,none,LLMs as analogical reasoners: few-shot exemplars improve complex mathematical reasoning
ye2024analobench,2024,EMNLP 2024,evaluation,compositional,LLM-prompting,general,AnaloBench,LLMs,"acc,sim",none,Abstract long-context analogy identification benchmark challenges current LLMs
yilmaz2025voila,2025,ICLR 2025,capability-evaluation,compositional,LLM-prompting,multimodal,VOILA,MLLMs,acc,none,Multimodal LLMs fail perceptual analogical reasoning in visual evaluation benchmark
yiu2025kiva,2025,ICLR 2025,capability-evaluation,compositional,LLM-prompting,multimodal,KiVA,LLMs+MLLMs,acc,none,Kid-inspired visual analogies expose fundamental gaps in multimodal LLM reasoning
yuan2024boosting,2024,EMNLP 2024,generation,compositional,LLM-hybrid,scientific,scientific concepts,teacher/student LLMs,"acc,val,human-pref",crowd,Teacher LLM analogies improve student LLM scientific concept understanding
afantenos2026proportional,2026,ICAART 2026,generation,lexical,symbolic,general,proportional analogies,lightweight NN,acc,none,Lightweight neural network matches LLMs on proportional analogy learning tasks
combs2025tradeoff,2025,IEEE TCDS,capability-evaluation,compositional,LLM-prompting,general,multiple,multiple LLMs,acc,none,Trade-off between analogical reasoning ability and efficiency in LLMs measured
czinczoll2022scientificcreativeanalogiespretrained,2022,EMNLP Findings 2022,capability-evaluation,lexical,LLM-prompting,scientific,SciCrAna,PLMs,acc,none,PLMs handle scientific analogies better than creative ones in benchmark probing
das2025prototypical,2025,INLG 2025,capability-evaluation,compositional,LLM-prompting,general,complex analogies,LLMs,acc,none,LLMs navigate prototypical analogies easily but struggle with complex relational ones
fournier2020analogies,2020,CoNLL 2020,evaluation,lexical,distributional,general,multiple embeddings,word embeddings,sim,none,Analogy tests measure embedding regularity not true analogical reasoning ability
hu2023incontext,2023,ACL 2023,capability-evaluation,compositional,LLM-prompting,general,SCAN+custom,GPT-3+,acc,none,In-context analogical reasoning with PLMs improves compositional generalization
jacob2023fame,2023,EMNLP 2023,generation,compositional,symbolic,general,custom relation pairs,FAME engine,acc,none,Flexible scalable analogy mappings engine generalizes structural mapping across domains
johnson2025analogies,2025,CoNLL 2025,capability-evaluation,lexical,LLM-prompting,general,children verbal analogy,LLMs,acc,human-comparison,"LLMs do not solve verbal analogies like children, lacking developmental progression"
ling2022deepgar,2022,ICDM 2022,generation,compositional,learned-relational,general,analogy graphs,DeepGAR (GNN),acc,none,Deep graph learning for analogical reasoning outperforms symbolic and distributional baselines
lippolis2026multimodal,2026,Inf.Fusion,capability-evaluation,compositional,LLM-hybrid,multimodal,multimodal analogy,LLMs+KG,acc,none,Logic-augmented generation enhances multimodal analogical reasoning with KG constraints
rogers2017toomany,2017,*SEM 2017,evaluation,lexical,distributional,general,multiple analogy sets,word2vec/GloVe,sim,none,Analogical reasoning with word vectors suffers many methodological validity problems
sultan2022life,2022,EMNLP 2022,generation,compositional,symbolic,story,situation-process pairs,non-LLM retrieval,"acc,human-pref",crowd,Automatically finds analogies between situations and processes via structural alignment
ushio2021bert,2021,ACL 2021,capability-evaluation,lexical,LLM-prompting,general,SAT+Google analogy,BERT+PLMs,acc,none,BERT identifies word analogies; PLM analogy probing reveals embedding geometry limits
wang2025anascore,2025,NAACL 2025,evaluation,lexical,LLM-prompting,general,proportional analogies,LLMs,"sim,val",none,AnaScore captures semantic parallelism in proportional analogies beyond accuracy
webb2023emergent,2023,Nat.Hum.Behav.,capability-evaluation,compositional,LLM-prompting,general,Raven's+letter-string,GPT-3/4,acc,human-comparison,Emergent analogical reasoning in LLMs matches human performance on Raven's matrices
webb2023zeroshot,2023,Nat.Commun.,generation,compositional,symbolic,multimodal,visual analogy sets,PAM,acc,none,Zero-shot visual analogy via probabilistic analogical mapping without training
yang2025emergent,2025,ICML 2025,capability-evaluation,lexical,LLM-prompting,general,analogy tasks,LLMs,acc,none,Emergent symbolic mechanisms support abstract analogical reasoning in large LLMs
zhang2025annotators,2025,ACL Findings 2025,evaluation,lexical,LLM-prompting,general,analogy annotation,LLMs,val,none,LLMs can serve as reliable analogy annotators for validity judgments at low cost
